tale_id,num_episodes,num_sentences,num_clauses,num_words,avg_episode_length,avg_sentence_length,avg_clause_length,avg_dep_distance_clause,avg_dep_distance_sentence,avg_dep_distance_episode,episodes_per_sentence,I,CLI
1,9,40,60,1051,116.77777777777777,26.275,17.516666666666666,8.425,12.6375,56.166666666666664,0.225,2.8434375,18.335971049457182
2,42,157,192,2781,66.21428571428571,17.713375796178344,14.484375,6.833333333333333,8.356687898089172,31.238095238095237,0.267515923566879,2.2355470810174856,18.763894273127743
3,20,137,181,2688,134.4,19.62043795620438,14.850828729281767,7.04696132596685,9.31021897810219,63.775,0.145985401459854,1.3591560551974,17.3121251149954
4,8,56,72,1049,131.125,18.732142857142858,14.569444444444445,6.895833333333333,8.866071428571429,62.0625,0.14285714285714285,1.2665816326530612,17.19134615384615
5,5,118,159,2218,443.6,18.796610169491526,13.949685534591195,6.60377358490566,8.898305084745763,210.0,0.0423728813559322,0.37704682562482045,18.516792668957617
6,9,100,128,2050,227.77777777777777,20.5,16.015625,7.6171875,9.75,108.33333333333333,0.09,0.8775,18.834697336561735
7,10,27,32,426,42.6,15.777777777777779,13.3125,6.234375,7.388888888888889,19.95,0.37037037037037035,2.736625514403292,17.320445682451254
8,26,118,158,2343,90.11538461538461,19.85593220338983,14.829113924050633,7.041139240506329,9.427966101694915,42.78846153846154,0.22033898305084745,2.07734846308532,18.192546835443043
9,4,9,12,233,58.25,25.88888888888889,19.416666666666668,9.333333333333334,12.444444444444445,28.0,0.4444444444444444,5.530864197530864,12.979782608695647
10,12,182,219,3937,328.0833333333333,21.63186813186813,17.977168949771688,8.573059360730594,10.315934065934066,156.45833333333334,0.06593406593406594,0.6801714768747735,17.582730531117615
11,21,92,118,1953,93.0,21.22826086956522,16.550847457627118,7.885593220338983,10.11413043478261,44.30952380952381,0.22826086956521738,2.3086602079395084,17.734810205351582
12,6,47,65,1148,191.33333333333334,24.425531914893618,17.661538461538463,8.46923076923077,11.712765957446809,91.75,0.1276595744680851,1.4952467179719329,20.2204081632653
13,4,13,17,320,80.0,24.615384615384617,18.823529411764707,9.029411764705882,11.807692307692308,38.375,0.3076923076923077,3.6331360946745566,16.091492537313435
14,10,53,71,1273,127.3,24.0188679245283,17.929577464788732,8.591549295774648,11.50943396226415,61.0,0.18867924528301888,2.1715913136347456,17.483756050338815
15,4,52,67,1135,283.75,21.826923076923077,16.940298507462686,8.082089552238806,10.413461538461538,135.375,0.07692307692307693,0.80103550295858,18.574903640256952
16,4,66,78,1405,351.25,21.28787878787879,18.012820512820515,8.583333333333334,10.143939393939394,167.375,0.06060606060606061,0.6147842056932966,16.136522506619595
17,3,29,44,783,261.0,27.0,17.795454545454547,8.568181818181818,13.0,125.66666666666667,0.10344827586206896,1.3448275862068966,19.401251862891204
18,7,47,63,1081,154.42857142857142,23.0,17.158730158730158,8.206349206349206,11.0,73.85714285714286,0.14893617021276595,1.6382978723404253,17.160973451327433
19,7,61,85,1373,196.14285714285714,22.508196721311474,16.152941176470588,7.7176470588235295,10.754098360655737,93.71428571428571,0.11475409836065574,1.234076861058855,16.782035087719297
20,9,51,65,983,109.22222222222223,19.274509803921568,15.123076923076923,7.1692307692307695,9.137254901960784,51.77777777777778,0.17647058823529413,1.6124567474048443,16.816347826086957
21,11,78,114,1933,175.72727272727272,24.78205128205128,16.95614035087719,8.135964912280702,11.89102564102564,84.31818181818181,0.14102564102564102,1.676939513477975,19.312329793878828
22,16,102,144,2274,142.125,22.294117647058822,15.791666666666666,7.541666666666667,10.647058823529411,67.875,0.1568627450980392,1.6701268742791233,17.797517241379314
23,5,65,73,1239,247.8,19.06153846153846,16.972602739726028,8.04109589041096,9.03076923076923,117.4,0.07692307692307693,0.6946745562130178,17.767276507276502
24,5,57,78,1174,234.8,20.596491228070175,15.051282051282051,7.160256410256411,9.798245614035087,111.7,0.08771929824561403,0.8594952293013234,18.554879328436517
25,23,76,90,1353,58.82608695652174,17.80263157894737,15.033333333333333,7.094444444444444,8.401315789473685,27.76086956521739,0.3026315789473684,2.5425034626038783,17.152873769024172
,,,,,,,,,,,,,
tale_id,sentence,dep_distance,I
1,"Oli muinoin köyhä mylläri, jolla oli tytär ihana.",4.5,1.0125
1,"Hän kerta kuninkaan puheille sattui ja sanoi silloin, arvollisemmalta muka näyttääksensä: ""onhan minulla tytär semmoinen, joka oljesta osaa kehrätä kultaa.""",12.5,2.8125
1,"Kuningas myllärille vastasi: ""noh sepä vasta konsti minun mielehiseni; jos tyttäres on niin näppärä, kuten kehut, lähetä hänet huomenna minun linnaani, minä hänen taitavuuttansa koetella tahdon.""",16.5,3.7125
1,"Sitten toisena päivänä tytön tultua kuningas hänen vei kamariin, joka oli olkia täynnänsä, sekä antoi hänelle rukin ja vyhdin-puun sanoen: ""ryhdy nyt heti työhön, ja jolleivät nämät oljet huomen-aamulla varahin ole kullaksi kehrättynä, sinä kuoleman omaksi joudut.""",22.0,4.95
1,"Sitten hän itse pani lukkuhun kamarin oven, ja tyttö sinne jäi yksiksensä.",6.5,1.4625000000000001
1,"Siinä nyt istui myllärin tytär parka ihan ymmällänsä, mikä neuvoksi, sillä hän ei ensinkään ymmärtänyt, mitenkä oljista kävisi kultaa kehrääminen, ja hänen tuskansa vain kiihtyi kiihtymistänsä, kunnes hän viimein itkemään hyrähti.",18.0,4.05
1,"Silloin äkkiä aukeni ovi ja huonehesen astui mies pienoinen lausuen: ""hyvää iltaa, myllärin-tytär neitsyeni!",8.5,1.9125
1,"miksi noin katkerasti itket?""",2.5,0.5625
1,"- ""Voi, voi,"" vastasi tyttö, ""minun pitäisi näistä oljista kultaa kehräämän, enkä ollenkaan ymmärrä, miten menetellä.""",12.5,2.8125
1,"Sanoipa silloin mies pieni: ""mitä annat minulle, jos nämät kehrään sinun puolestas?""",8.0,1.8
1,"- ""Minun kaulakoristeeni,"" tyttö vastata tokasi.",4.5,1.0125
1,"Pikku mies kaula-koristeen otti sekä istui rukin äärehen, hyrr, yrr, yrr, kolmasti pyörä ympäri kieri, ja jo oli yksi rulla täynnä.",13.0,2.9250000000000003
1,"Sitten hän toisen pisti karahan, ja hyrr, yrr, yrr, vain kolme pyöräystä, jopa sekin oli täytehen tullut, ja näin hän työskenteli aamuun asti, jolloin oli oljet kaikki kehrättynä sekä kaikki rullat täynnänsä kultaa.",20.0,4.5
1,Jo auringon noustessa tuli kuningas ja nähdessään noita kulta- kasoja sekä hämmästyi että ihastui; mutta kullan-himon villitsemänä hän vain enempää himoitsi.,11.0,2.475
1,"Sentähden hän myllärin tyttären lähetti toiseen vielä isompaan, oljilla täytettyyn kamariin, pannen tytölle määräksi, että tuo yhtenä yönä nämätkin kehräisi, jollei häntä tuonelan tuville haluttaisi.",14.5,3.2625
1,"Siinä lapsi rukka sitten neuvotonna istui itkemässä, mutta tulipa taas ovesta mies pieni ja puhui hänelle: ""mitäs minulle annat, jos sinun puolestas oljet kehrään kullaksi?""",15.0,3.375
1,"- ""Sormestani sormuksen,"" tyttö vastasi.",4.0,0.9
1,"Pikku mies tuon otti sekä rupesi taas kehräämisen toimeen, ja ennen-kuin aamu koitti, oli jo kaikki oljet kiiltäväksi kullaksi kehrättynä.",11.0,2.475
1,"Nuot kasat kuningasta kyllä ihastuttivat, mutta eipä hän vielä ollut kultaa saanut kylliksensä, vaan pani myllärin tyttären vieläkin isompaan huonehesen, joka oli olkia täpö täynnänsä, sekä sanoi: ""vielä tänä yönä sinun pitää saada nämät kehrätyksi, mutta jos sinulta tämä onnistuu, olet minun puolisokseni pääsevä.""",26.5,5.9625
1,"- ""Vaikka hän onkin halpa myllärin-tytär,"" kuningas ajatteli, ""ei koko mailmassa ole rikkaampaa vaimoa löydettävissäni.""",10.5,2.3625000000000003
1,"Kun sitten tyttönen oli yksiksensä jäänyt, tuli kolmannen erän hänen tykönsä tuo pikku mies, sanoen: ""mitä minulle annat, jos vielä tämän kerran sinun puolestas kehrään nämät oljet?""",16.5,3.7125
1,"- ""Minulla ei enään ole mitään, jota sopisi antaa,"" vastasi tyttö.",7.5,1.6875
1,"""Noh lupaappas sitten, että, jos kuninkaan puolisoksi pääset, sinä minulle annat ensimmäisen lapses.""",9.0,2.025
